id,bod,datum,votes_pro,votes_proti,votes_zdrzel,votes_nehlasoval,prihlaseno,vysledek,nazev
53626,78,1307224800,46,102,8,9,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53627,78,1307224800,101,14,34,17,166,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53628,78,1307224800,99,40,13,14,166,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53629,82,1307224800,133,3,26,2,164,A,Novela%20z.%20o%20hornick%E9%20%u010Dinnosti
53630,82,1307224800,136,0,25,1,162,A,Novela%20z.%20o%20hornick%E9%20%u010Dinnosti
53631,82,1307224800,136,1,23,1,161,A,Novela%20z.%20o%20hornick%E9%20%u010Dinnosti
53632,82,1307224800,30,78,44,9,161,R,Novela%20z.%20o%20hornick%E9%20%u010Dinnosti
53633,82,1307224800,137,1,22,0,160,A,Novela%20z.%20o%20hornick%E9%20%u010Dinnosti
53634,82,1307224800,138,0,22,1,161,A,Novela%20z.%20o%20hornick%E9%20%u010Dinnosti
53635,74,1307224800,105,1,49,3,158,A,Novela%20devizov%E9ho%20z%E1kona%20-%20EU
53636,74,1307224800,105,27,27,0,159,A,Novela%20devizov%E9ho%20z%E1kona%20-%20EU
53637,75,1307224800,127,2,29,1,159,A,Novela%20z.%20o%20nakl%E1d%E1n%ED%20se%20surov%FDmi%20diamanty%20-%20EU
53638,76,1307224800,126,2,29,0,157,A,Novela%20z.%20o%20finan%u010Dn%EDm%20arbitrovi%20-%20EU
53639,76,1307224800,132,3,22,0,157,A,Novela%20z.%20o%20finan%u010Dn%EDm%20arbitrovi%20-%20EU
53640,76,1307224800,56,62,27,12,157,R,Novela%20z.%20o%20finan%u010Dn%EDm%20arbitrovi%20-%20EU
53641,76,1307224800,55,61,28,13,157,R,Novela%20z.%20o%20finan%u010Dn%EDm%20arbitrovi%20-%20EU
53642,76,1307224800,135,4,18,0,157,A,Novela%20z.%20o%20finan%u010Dn%EDm%20arbitrovi%20-%20EU
53643,76,1307224800,110,26,18,3,157,A,Novela%20z.%20o%20finan%u010Dn%EDm%20arbitrovi%20-%20EU
53644,81,1307224800,128,1,26,0,155,A,Novela%20z.%20o%20ochran%u011B%20ovzdu%u0161%ED%20-%20EU
53645,81,1307224800,83,21,40,11,155,A,Novela%20z.%20o%20ochran%u011B%20ovzdu%u0161%ED%20-%20EU
53646,81,1307224800,133,2,21,0,156,A,Novela%20z.%20o%20ochran%u011B%20ovzdu%u0161%ED%20-%20EU
53647,77,1307224800,125,1,27,1,154,A,Novela%20z.%20o%20opat%u0159en%EDch%20t%FDkaj%EDc%EDch%20se%20dovozu%20a%20v%FDvozu%20zbo%u017E%ED%20-%20EU
53648,80,1307224800,127,2,26,2,157,A,Novela%20z.%20o%20kolektivn%EDm%20investov%E1n%ED%20-%20EU
53649,80,1307224800,130,6,21,0,157,A,Novela%20z.%20o%20kolektivn%EDm%20investov%E1n%ED%20-%20EU
53650,80,1307224800,133,5,18,1,157,A,Novela%20z.%20o%20kolektivn%EDm%20investov%E1n%ED%20-%20EU
53651,80,1307224800,125,6,20,6,157,A,Novela%20z.%20o%20kolektivn%EDm%20investov%E1n%ED%20-%20EU
53652,80,1307224800,130,5,21,1,157,A,Novela%20z.%20o%20kolektivn%EDm%20investov%E1n%ED%20-%20EU
53653,83,1307224800,127,3,25,1,156,A,Novela%20z.%20o%20dani%20z%20nemovitost%ED
53654,83,1307224800,129,4,22,1,156,A,Novela%20z.%20o%20dani%20z%20nemovitost%ED
53655,84,1307224800,127,0,28,0,155,A,Vl.n.z.%20o%20z%E1kazu%20kazetov%E9%20munice
53656,112,1307224800,121,0,34,0,155,A,N%E1vrh%20zm%u011Bny%20rozpo%u010Dtu%20SFRB%20na%20rok%202011
53657,85,1307224800,115,2,33,4,154,A,Novela%20z.%20o%20advokacii
53658,85,1307224800,116,1,34,0,151,A,Novela%20z.%20o%20advokacii
53659,86,1307224800,111,2,37,1,151,A,Novela%20z.%20o%20trestn%EDm%20%u0159%EDzen%ED%20soudn%EDm%20%28trestn%ED%20%u0159%E1d%29
53660,86,1307224800,113,1,35,2,151,A,Novela%20z.%20o%20trestn%EDm%20%u0159%EDzen%ED%20soudn%EDm%20%28trestn%ED%20%u0159%E1d%29
53661,87,1307224800,116,1,31,1,149,A,Vl.n.z.o%20sou%u010Dinnosti%20pro%20%FA%u010Dely%20%u0159%EDzen%ED%20p%u0159ed%20mezin%E1rod.%20soudy
53662,87,1307224800,118,2,29,1,150,A,Vl.n.z.o%20sou%u010Dinnosti%20pro%20%FA%u010Dely%20%u0159%EDzen%ED%20p%u0159ed%20mezin%E1rod.%20soudy
53663,88,1307224800,117,2,31,2,152,A,Novela%20z.%20o%20trestn%EDm%20%u0159%EDzen%ED%20soudn%EDm%20%28trestn%ED%20%u0159%E1d%29
53664,90,1307224800,104,1,44,3,152,A,Novela%20z.%20o%20soudech%20a%20soudc%EDch
53665,90,1307224800,87,4,47,14,152,A,Novela%20z.%20o%20soudech%20a%20soudc%EDch
53666,90,1307224800,88,13,46,5,152,A,Novela%20z.%20o%20soudech%20a%20soudc%EDch
53667,0,1317765600,119,5,12,1,137,A,Po%u0159ad%20sch%u016Fze
53668,0,1317765600,126,1,11,3,141,A,Po%u0159ad%20sch%u016Fze
53669,0,1317765600,134,0,9,4,147,A,Po%u0159ad%20sch%u016Fze
53670,41,1317765600,128,0,27,0,155,A,Novela%20z.%20o%20v%FDkonu%20%FAstavn%ED%20v%FDchovy
53671,29,1317765600,115,1,43,0,159,A,Novela%20z.%20o%20Rejst%u0159%EDku%20trest%u016F%20-%20EU
53672,29,1317765600,77,26,43,13,159,R,Novela%20z.%20o%20Rejst%u0159%EDku%20trest%u016F%20-%20EU
53673,30,1317765600,120,1,38,0,159,A,N.z.o%20trestn%ED%20odpov%u011Bdnosti%20pr%E1v.%20osob%20a%20%u0159%EDzen%ED%20proti%20nim%20-%20EU
53674,30,1317765600,51,79,27,6,163,R,N.z.o%20trestn%ED%20odpov%u011Bdnosti%20pr%E1v.%20osob%20a%20%u0159%EDzen%ED%20proti%20nim%20-%20EU
53675,30,1317765600,148,0,15,0,163,A,N.z.o%20trestn%ED%20odpov%u011Bdnosti%20pr%E1v.%20osob%20a%20%u0159%EDzen%ED%20proti%20nim%20-%20EU
53676,31,1317765600,130,1,30,1,162,A,N.z.%20o%20zm%u011Bn%u011B%20z%E1kon%u016F%20v%20souvisl.s%20p%u0159ij.z%E1k.o%20tr.odpov%u011Bdnosti
53677,31,1317765600,134,1,26,1,162,A,N.z.%20o%20zm%u011Bn%u011B%20z%E1kon%u016F%20v%20souvisl.s%20p%u0159ij.z%E1k.o%20tr.odpov%u011Bdnosti
53678,33,1317765600,131,0,30,1,162,A,Novela%20z.%20-%20trestn%ED%20z%E1kon%EDk%20-%20EU
53679,36,1317765600,127,0,33,2,162,A,Novela%20obchodn%EDho%20z%E1kon%EDku%20-%20EU
53680,51,1317765600,116,0,46,0,162,A,Novela%20z.%20-%20soudn%ED%20%u0159%E1d%20spr%E1vn%ED
53681,53,1317765600,22,84,4,19,129,R,Novela%20z.%20o%20znalc%EDch%20a%20tlumo%u010Dn%EDc%EDch
53682,53,1317765600,124,0,5,1,130,A,Novela%20z.%20o%20znalc%EDch%20a%20tlumo%u010Dn%EDc%EDch
53683,50,1317765600,104,0,28,1,133,A,Novela%20z.%20o%20z%E1pisech%20vlastnick%FDch%20pr%E1v%20k%20nemovitostem
53684,43,1317765600,77,46,2,6,131,A,Novela%20z.%20o%20st%u0159etu%20z%E1jm%u016F
53685,44,1317765600,59,85,0,0,144,R,N.z.%20o%20zru%u0161en%ED%20z%E1kona%20o%20ve%u0159ej.%20nezis.%20%FAstav.%20zdrav.%20za%u0159%EDz.
53686,44,1317765600,141,2,2,0,145,A,N.z.%20o%20zru%u0161en%ED%20z%E1kona%20o%20ve%u0159ej.%20nezis.%20%FAstav.%20zdrav.%20za%u0159%EDz.
53687,0,1320447600,95,6,18,3,122,A,Po%u0159ad%20sch%u016Fze
53688,0,1320447600,110,1,12,0,123,A,Po%u0159ad%20sch%u016Fze
